metric,group_type,group_name,count,mean,std,min,max,p25,p50,p75,p90,p95
angle,overall,all,3610.0,5.35188975505211,6.107808651759279,0.0,89.74447631835938,1.8310401737689972,3.8843804597854614,6.827160477638245,11.1789963722229,15.212907552719114
angle,vertebra,C1,543.0,7.302738749121983,5.851949069134034,0.0,45.06397247314453,2.8053994178771973,6.2038397789001465,10.082411289215088,14.15036792755127,18.45667781829833
angle,vertebra,C2,624.0,6.851136725264578,8.595921640454446,0.048456642776727676,89.74447631835938,2.1279157400131226,4.81474494934082,8.647908926010132,13.603819847106937,20.72106618881226
angle,vertebra,C3,596.0,4.041924960036206,3.7924163446299306,0.0,29.6155948638916,1.429326593875885,2.954807162284851,5.491156816482544,8.47642707824707,11.170338153839111
angle,vertebra,C4,538.0,3.9385026820959546,5.657207317667405,0.0,88.3612060546875,1.351292610168457,2.844171166419983,5.087525844573975,7.464242267608642,9.53301572799682
angle,vertebra,C5,447.0,3.9654085596802515,3.521959976510323,0.0,30.551239013671875,1.5346759557724,3.3663899898529053,5.283139944076538,7.23210334777832,9.334775638580322
angle,vertebra,C6,446.0,4.780330190852685,6.1375401026864225,0.02797645516693592,83.70718383789062,1.878214418888092,3.544526219367981,5.715410590171814,8.764694213867188,12.268153667449951
angle,vertebra,C7,416.0,6.363843624887522,5.972056324557336,0.0,32.3216438293457,2.1372300386428833,4.665266513824463,9.061124086380005,14.50330924987793,20.044978141784668
angle,line,line_1,903.0,5.81529367848579,6.528054646915549,0.0,88.3612060546875,1.9548767805099487,4.068231105804443,7.730084657669067,12.611701202392577,16.076151847839355
angle,line,line_2,905.0,4.931123037529255,5.5764012682766575,0.0,70.47928619384766,1.601077914237976,3.4872846603393555,6.455733299255371,9.908455467224123,13.256860160827637
angle,line,line_3,898.0,5.473803450830513,5.743979201316087,0.0,83.70718383789062,1.985536366701126,3.976534843444824,6.952852845191956,11.194561195373536,16.500571632385245
angle,line,line_4,904.0,5.189126079928839,6.485937163384989,0.0,89.74447631835938,1.800910323858261,3.9177916049957275,6.243430256843567,10.457023048400881,14.254861783981312
rho,overall,all,3610.0,3.3034687634789712,3.2936326858932063,0.00017229632067028433,35.536231994628906,1.151609092950821,2.4671730995178223,4.330971837043762,6.971581983566284,9.50500817298889
rho,vertebra,C1,543.0,5.950157340896842,4.8567238489776905,0.0017501057591289282,24.672927856445312,1.8970770239830017,4.939831256866455,8.904444217681885,13.1349271774292,15.27024221420288
rho,vertebra,C2,624.0,3.2847596095354024,3.737178406825607,0.003953374456614256,35.536231994628906,1.2381818890571594,2.4769625663757324,4.322898507118225,6.33987674713135,7.952052545547487
rho,vertebra,C3,596.0,2.1917120605928524,1.8013606281186938,0.00017229632067028433,18.584856033325195,0.8744445592164993,1.7922124862670898,3.168458640575409,4.281953573226929,5.390826225280762
rho,vertebra,C4,538.0,2.4799531404860318,2.361960535575612,0.0024239495396614075,20.344688415527344,0.8616612553596497,1.9579724073410034,3.3252761363983154,4.724228715896607,7.24711513519287
rho,vertebra,C5,447.0,2.8608980626034524,2.241304873457386,0.027260582894086838,13.942753791809082,1.2180110812187195,2.4486753940582275,3.8106637001037598,5.642945384979252,7.227687168121338
rho,vertebra,C6,446.0,2.8112296901868796,2.231090350609205,0.010744918137788773,24.81545639038086,1.1847023963928223,2.4220255613327026,4.107047438621521,5.296965599060059,5.975937604904175
rho,vertebra,C7,416.0,3.5379609379809924,2.735631847177476,0.04568330571055412,16.457414627075195,1.4335635006427765,2.8925557136535645,5.170112252235413,7.165217876434326,8.888812780380249
rho,line,line_1,903.0,3.2420477487236066,3.0879654452553873,0.0017501057591289282,21.72300148010254,1.1481024026870728,2.4646658897399902,4.188649654388428,6.90203323364258,9.497843647003172
rho,line,line_2,905.0,3.2015217384138244,3.034779327991065,0.0024239495396614075,31.768901824951172,1.0609807968139648,2.418024778366089,4.439010143280029,7.060659885406495,8.960078048706054
rho,line,line_3,898.0,3.140733796395859,2.7980417203148265,0.012454899959266186,24.81545639038086,1.192575216293335,2.4066356420516968,4.262360572814941,6.377714443206794,8.792869615554809
rho,line,line_4,904.0,3.6285365007009696,4.080659899063676,0.00017229632067028433,35.536231994628906,1.1822368800640106,2.5923590660095215,4.486794471740723,7.22369031906128,12.319857692718502
perp,overall,all,3610.0,11.371102182549244,8.020860395808178,0.4622284195969577,47.990297023056414,5.712076558184769,9.120006281232417,14.714368784671631,22.976048800965735,27.098776705397523
perp,vertebra,C1,543.0,21.252701935821072,8.570276038954173,3.7195760327546536,47.49340316674231,14.996164181627883,20.580643057618122,26.574208732215588,33.0057846798277,35.82372183225842
perp,vertebra,C2,624.0,9.398061634855868,6.16877680115067,0.4622284195969577,33.176313489278684,5.525520937811618,7.668506426675863,12.288814032921138,18.610814160362313,22.56093209378924
perp,vertebra,C3,596.0,9.1467651452005,5.433345572724718,0.5458396476627871,35.99852549857911,5.391367704648697,8.55030042229415,11.269477366017274,14.42138462104765,19.677102916452377
perp,vertebra,C4,538.0,8.1723256338736,4.510475848633632,1.1845000268635957,42.69909148364148,5.207877589840434,7.2904023503105835,10.420867214635052,12.72857242414087,15.051690715991029
perp,vertebra,C5,447.0,8.13529838701131,5.890033965840792,0.8084509140311104,47.990297023056414,5.109434466704439,6.648424293975301,9.486255099907531,13.551937274574657,16.751765625073126
perp,vertebra,C6,446.0,10.301626190526655,8.07946111093436,1.1561287992227387,43.56578548374988,5.182727493782041,8.693413578509592,12.723643051517811,16.99198662518794,25.08751711940927
perp,vertebra,C7,416.0,13.379529784061125,7.702907372179185,0.9679368345325781,34.81015453447729,5.206945361956033,14.15186422026318,19.482935196833267,22.627995169585972,24.050962529220328
perp,line,line_1,903.0,10.880968063111256,6.46517075857744,0.5458396476627871,36.73363139698604,6.124638539714109,9.461831725017472,14.75183502408116,20.288403584591784,23.550696232162405
perp,line,line_2,905.0,12.032984762301409,9.367242258057816,0.5414044866176916,47.990297023056414,5.602949941506373,9.485187737473218,14.51061175624881,25.32075608952159,33.281864751569124
perp,line,line_3,898.0,11.017610952805367,7.482845266086622,0.4622284195969577,34.81015453447729,5.4965441551450045,8.876864041199973,15.704104296001322,22.665560308629225,25.860840262398423
perp,line,line_4,904.0,11.549224416494816,8.417813901994327,0.8653963853596285,47.49340316674231,5.7065856188458515,8.77702775790599,14.506313751379482,24.62213124183465,28.22253537510801
